character,pinyin,translation,category,level
乐观,lè guān,optimistic,Adjective,5
乐趣,lè qù,fun,Noun,5
泪,lèi,tear,Noun,5
类,lèi,category,Noun/Classifier,5
泪水,lèi shuǐ,tears,Noun,5
类似,lèi sì,similar,Verb,5
类型,lèi xíng,type,Noun,5
梨,lí,pear,Noun,5
离婚,lí hūn,to divorce,Verb,5
厘米,lí mǐ,centimeter,Noun,5
离职,lí zhí,to resign,Verb,5
理论,lǐ lùn,to theorize,Noun/Verb,5
里头,lǐ tou,inside,Noun,5
理由,lǐ yóu,reason,Noun,5
力,lì,strength,Noun/Suffix,5
立即,lì jí,immediately,Adverb,5
立刻,lì kè,immediately,Adverb,5
力量,lì liàng,strength,Noun,5
利润,lì rùn,profit,Noun,5
利益,lì yì,benefit,Noun,5
利用,lì yòng,to use,Verb,5
联合,lián hé,to unite,Verb/Adjective,5
连接,lián jiē,to connect,Verb,5
连忙,lián máng,hurriedly,Adverb,5
连续,lián xù,continuous,Verb,5
脸色,liǎn sè,complexion,Noun,5
恋爱,liàn ài,to fall in love,Noun/Verb,5
良好,liáng hǎo,good,Adjective,5
粮食,liáng shi,grain,Noun,5
量,liàng,quantity,Noun,5
了不起,liǎo bu qǐ,amazing,Adjective,5
列车,liè chē,train,Noun,5
临时,lín shí,temporarily,Adjective/Adverb,5
铃,líng,bell,Noun,5
灵活,líng huó,flexible,Adjective,5
领,lǐng,to lead,Noun/Verb,5
领带,lǐng dài,necktie,Noun,5
领导,lǐng dǎo,to lead,Noun/Verb,5
领取,lǐng qǔ,to receive,Verb,5
领先,lǐng xiān,to lead,Verb,5
领域,lǐng yù,field,Noun,5
令,lìng,to order,Noun/Verb,5
流传,liú chuán,to spread,Verb,5
流感,liú gǎn,flu,Noun,5
浏览,liú lǎn,to browse,Verb,5
留言,liú yán,to leave a message,Noun/Verb,5
龙,lóng,dragon,Noun,5
漏,lòu,to leak,Verb,5
录,lù,to record,Verb,5
陆地,lù dì,land,Noun,5
录取,lù qǔ,to enroll,Verb,5
路人,lù rén,passerby,Noun,5
路线,lù xiàn,route,Noun,5
陆续,lù xù,one after another,Adverb,5
录音,lù yīn,to record,Noun/Verb,5
旅行社,lǚ xíng shè,travel agency,Noun,5
论文,lùn wén,thesis,Noun,5
逻辑,luó ji,logic,Noun,5
骂,mà,to scold,Verb,5
买卖,mǎi mài,business,Noun,5
满足,mǎn zú,to satisfy,Verb,5
忙碌,máng lù,busy,Adjective,5
毛笔,máo bǐ,writing brush,Noun,5
毛病,máo bìng,fault,Noun,5
矛盾,máo dùn,contradiction,Noun/Verb/Adjective,5
没法儿,méi fǎr,there is no way,Verb,5
玫瑰,méi guī,rose,Noun,5
媒体,méi tǐ,media,Noun,5
美术,měi shù,art,Noun,5
美味,měi wèi,delicious food,Noun,5
魅力,mèi lì,charm,Noun,5
门诊,mén zhěn,outpatient clinic,Verb,5
迷,mí,to be fascinated,Verb,5
迷路,mí lù,to lose one's way,Verb,5
秘密,mì mì,secret,Noun/Adjective,5
密切,mì qiè,close,Verb/Adjective,5
秘书,mì shū,secretary,Noun,5
面,miàn,side,Noun,5
面积,miàn jī,area,Noun,5
面临,miàn lín,to face,Verb,5
面向,miàn xiàng,to face,Verb,5
描述,miáo shù,to describe,Verb,5
敏感,mǐn gǎn,sensitive,Adjective,5
名称,míng chēng,name,Noun,5
名牌,míng pái,famous brand,Noun,5
名片,míng piàn,business card,Noun,5
明确,míng què,clear,Verb/Adjective,5
明显,míng xiǎn,obvious,Adjective,5
明星,míng xīng,star,Noun,5
命,mìng,life,Noun,5
命运,mìng yùn,destiny,Noun,5
摸,mō,to touch,Verb,5
模糊,mó hu,vague,Verb/Adjective,5
模式,mó shì,pattern,Noun,5
陌生,mò shēng,strange,Adjective,5
某,mǒu,certain,Pronoun,5
目光,mù guāng,gaze,Noun,5
木头,mù tou,wood,Noun,5
哪怕,nǎ pà,even if,Conjunction,5
难得,nán dé,rare,Adjective,5
难度,nán dù,degree of difficulty,Noun,5
难以,nán yǐ,difficult to,Verb,5
男子,nán zǐ,man,Noun,5
闹,nào,noisy,Verb/Adjective,5
闹钟,nào zhōng,alarm clock,Noun,5
内部,nèi bù,inside,Noun,5
能干,néng gàn,capable,Adjective,5
年初,nián chū,beginning of the year,Noun,5
年代,nián dài,era,Noun,5
年纪,nián jì,age,Noun,5
年夜饭,nián yè fàn,New Year's Eve dinner,Noun,5
念,niàn,to read aloud,Verb,5
牛仔裤,niú zǎi kù,jeans,Noun,5
浓,nóng,dense,Adjective,5
农民,nóng mín,farmer,Noun,5
农业,nóng yè,agriculture,Noun,5
女子,nǚ zǐ,woman,Noun,5
哦,ò,oh (interjection indicating understanding),Interjection,5
欧洲,Ōu zhōu,Europe,Noun,5
偶然,ǒu rán,accidental,Adjective,5
拍摄,pāi shè,to shoot (photo or film),Verb,5
排列,pái liè,to arrange,Verb,5
派,pài,to send,Noun/Verb/Classifier,5
派出所,pài chū suǒ,police substation,Noun,5
跑道,pǎo dào,runway,Noun,5
赔,péi,to compensate,Verb,5
陪伴,péi bàn,to accompany,Verb,5
培训,péi xùn,to train,Verb,5
培养,péi yǎng,to cultivate,Verb,5
配,pèi,to match,Verb/Adjective,5
配合,pèi hé,to coordinate,Verb,5
配送,pèi sòng,to deliver,Verb,5
盆,pén,basin,Noun,5
碰,pèng,to bump,Verb,5
碰见,pèng jiàn,to run into,Verb,5
批,pī,measure word for batches,Classifier,5
批,pī,to criticize,Verb,5
批准,pī zhǔn,to approve,Verb,5
匹,pǐ,measure word for horses,Classifier,5
骗,piàn,to cheat,Verb,5
拼,pīn,to piece together,Verb,5
拼音,pīn yīn,to spell,Verb,5
品,pǐn,suffix indicating character,Verb/Suffix,5
品牌,pǐn pái,brand,Noun,5
品质,pǐn zhì,quality,Noun,5
品种,pǐn zhǒng,variety,Noun,5
聘请,pìn qǐng,to hire,Verb,5
平,píng,flat,Verb/Adjective,5
评,píng,to judge,Verb,5
凭,píng,to rely on,Verb/Preposition,5
平安,píng ān,safe,Adjective,5
平衡,píng héng,balanced,Verb/Adjective,5
评价,píng jià,to evaluate,Noun/Verb,5
凭借,píng jiè,to rely on,Verb,5
平静,píng jìng,calm,Adjective,5
平均,píng jūn,to average,Verb/Adjective,5
屏幕,píng mù,screen,Noun,5
平台,píng tái,platform,Noun,5
破坏,pò huài,to destroy,Verb,5
普及,pǔ jí,to popularize,Verb,5
期待,qī dài,to expect,Verb,5
期间,qī jiān,period,Noun,5
齐,qí,neat,Verb/Adjective/Adverb,5
其,qí,his,Pronoun,5
奇迹,qí jì,miracle,Noun,5
其余,qí yú,the rest,Pronoun,5
企业,qǐ yè,enterprise,Noun,5
气球,qì qiú,balloon,Noun,5
汽油,qì yóu,gasoline,Noun,5
签,qiān,to sign,Verb,5
签订,qiān dìng,to sign,Verb,5
签名,qiān míng,to sign one's name,Noun/Verb,5
签字,qiān zì,to sign,Noun/Verb,5
前进,qián jìn,to advance,Verb,5
前来,qián lái,to come,Verb,5
前途,qián tú,future,Noun,5
前往,qián wǎng,to go to,Verb,5
浅,qiǎn,shallow,Adjective,5
欠,qiàn,to owe,Verb,5
墙,qiáng,wall,Noun,5
强大,qiáng dà,strong,Adjective,5
强调,qiáng diào,to emphasize,Verb,5
强度,qiáng dù,intensity,Noun,5
强烈,qiáng liè,strong,Adjective,5
抢,qiǎng,to snatch,Verb,5
抢救,qiǎng jiù,to rescue,Verb,5
悄悄,qiāo qiao,quietly,Adverb,5
切,qiē,to cut,Verb,5
亲,qīn,close,Verb/Adjective,5
亲爱,qīn ài,dear,Adjective,5
亲朋好友,qīn péng hǎo yǒu,relatives and friends,Noun,5
亲切,qīn qiè,cordial,Adjective,5
亲情,qīn qíng,family affection,Noun,5
亲人,qīn rén,family member,Noun,5
亲自,qīn zì,personally,Adverb,5
勤奋,qín fèn,diligent,Adjective,5
青,qīng,green,Adjective,5
轻易,qīng yì,easy,Adjective/Adverb,5
轻重,qīng zhòng,importance,Noun,5
情感,qíng gǎn,emotion,Noun,5
情景,qíng jǐng,scene,Noun,5
情绪,qíng xù,mood,Noun,5
请教,qǐng jiào,to ask for advice,Verb,5
请求,qǐng qiú,to request,Noun/Verb,5
穷,qióng,poor,Adjective,5
趋势,qū shì,trend,Noun,5
区域,qū yù,region,Noun,5
去世,qù shì,to pass away,Verb,5
权,quán,power,Noun/Adverb,5
权利,quán lì,right,Noun,5
全力,quán lì,full strength,Noun/Adverb,5
全面,quán miàn,comprehensive,Adjective,5
全体,quán tǐ,all,Noun,5
全新,quán xīn,brand new,Adjective,5
劝,quàn,to persuade,Verb,5
缺乏,quē fá,to lack,Verb,5
确保,què bǎo,to ensure,Verb,5
确定,què dìng,certain,Verb/Adjective,5
确认,què rèn,to confirm,Verb,5
群,qún,measure word for groups,Noun/Classifier,5
群体,qún tǐ,group,Noun,5
燃烧,rán shāo,to burn,Verb,5
绕,rào,to go around,Verb,5
热爱,rè ài,to love deeply,Verb,5
热量,rè liàng,heat,Noun,5
热烈,rè liè,warm,Adjective,5
热心,rè xīn,enthusiastic,Adjective,5
人才,rén cái,talented person,Noun,5
人工,rén gōng,artificial,Noun/Adjective,5
人际,rén jì,interpersonal,Adjective,5
人口,rén kǒu,population,Noun,5
人类,rén lèi,humanity,Noun,5
人力,rén lì,manpower,Noun,5
人民,rén mín,people,Noun,5
人民币,rén mín bì,Renminbi,Noun,5
人群,rén qún,crowd,Noun,5
人体,rén tǐ,human body,Noun,5
人物,rén wù,person,Noun,5
忍,rěn,to endure,Verb,5
认,rèn,to recognize,Verb,5
日历,rì lì,calendar,Noun,5
日用品,rì yòng pǐn,daily necessities,Noun,5
如,rú,like,Verb/Conjunction,5
如此,rú cǐ,such,Pronoun,5
如何,rú hé,how,Pronoun,5
如今,rú jīn,nowadays,Noun,5
如同,rú tóng,like,Verb,5
如下,rú xià,as follows,Verb,5
软,ruǎn,soft,Adjective,5
软件,ruǎn jiàn,software,Noun,5
弱,ruò,weak,Adjective,5
洒,sǎ,to sprinkle,Verb,5
赛场,sài chǎng,competition venue,Noun,5
色彩,sè cǎi,color,Noun,5
沙漠,shā mò,desert,Noun,5
沙子,shā zi,sand,Noun,5
傻,shǎ,stupid,Adjective,5
晒,shài,to sunbathe,Verb,5
删,shān,to delete,Verb,5
扇,shān,to fan,Verb,5
删除,shān chú,to delete,Verb,5
山区,shān qū,mountain area,Noun,5
擅长,shàn cháng,to be good at,Verb,5
善良,shàn liáng,kind,Adjective,5
善于,shàn yú,to be good at,Verb,5
扇子,shàn zi,fan,Noun,5
伤,shāng,injury,Noun/Verb,5
伤害,shāng hài,to harm,Verb,5
商家,shāng jiā,business,Noun,5
商人,shāng rén,businessman,Noun,5
商务,shāng wù,business,Noun,5
商业,shāng yè,commerce,Noun,5
赏,shǎng,to appreciate,Verb,5
上传,shàng chuán,to upload,Verb,5
上升,shàng shēng,to rise,Verb,5
上下,shàng xià,up and down,Noun,5
上涨,shàng zhǎng,to rise,Verb,5
烧,shāo,to burn,Noun/Verb,5
烧烤,shāo kǎo,barbecue,Noun,5
蛇,shé,snake,Noun,5
舍不得,shě bu de,to hate to part with,Verb,5
舍得,shě de,to be willing to,Verb,5
设备,shè bèi,equipment,Noun,5
设计,shè jì,to design,Noun/Verb,5
设立,shè lì,to establish,Verb,5
社区,shè qū,community,Noun,5
设施,shè shī,facilities,Noun,5
摄影,shè yǐng,to take a photograph,Verb,5
设置,shè zhì,to set up,Verb,5
伸,shēn,to stretch,Verb,5
身材,shēn cái,figure,Noun,5
深度,shēn dù,depth,Noun/Adjective,5
身份,shēn fèn,identity,Noun,5
深厚,shēn hòu,deep,Adjective,5
深刻,shēn kè,profound,Adjective,5
深入,shēn rù,to penetrate deeply,Verb/Adjective,5
深远,shēn yuǎn,far-reaching,Adjective,5
神话,shén huà,myth,Noun,5
神秘,shén mì,mysterious,Adjective,5
升,shēng,to rise,Verb,5
生产,shēng chǎn,to produce,Verb,5
生存,shēng cún,to survive,Verb,5
生动,shēng dòng,vivid,Adjective,5
升级,shēng jí,to upgrade,Verb,5
升温,shēng wēn,to heat up,Verb,5
生物,shēng wù,living things,Noun,5
生肖,shēng xiào,Chinese zodiac,Noun,5
生长,shēng zhǎng,to grow,Verb,5
省,shěng,to save,Verb,5
省份,shěng fèn,province,Noun,5
省会,shěng huì,provincial capital,Noun,5
胜,shèng,to win,Verb,5
胜利,shèng lì,victory,Verb,5
诗,shī,poetry,Noun,5
湿,shī,wet,Adjective,5
失恋,shī liàn,to lose in love,Verb,5
失眠,shī mián,to suffer from insomnia,Verb,5
诗人,shī rén,poet,Noun,5
失误,shī wù,to make a mistake,Noun/Verb,5
失业,shī yè,to lose one's job,Verb,5
时差,shí chā,time difference,Noun,5
时常,shí cháng,often,Adverb,5
时代,shí dài,era,Noun,5
实践,shí jiàn,to practice,Verb,5
时刻,shí kè,moment,Noun/Adverb,5
实力,shí lì,strength,Noun,5
时期,shí qī,period,Noun,5
实施,shí shī,to implement,Verb,5
石头,shí tou,stone,Noun,5
实习,shí xí,to intern,Verb,5
实现,shí xiàn,to realize,Verb,5
实行,shí xíng,to implement,Verb,5
实验,shí yàn,to experiment,Noun/Verb,5
实验室,shí yàn shì,laboratory,Noun,5
实用,shí yòng,practical,Adjective,5
食用,shí yòng,to eat,Verb,5
使得,shǐ de,to cause,Verb,5
始终,shǐ zhōng,from beginning to end,Noun/Adverb,5
式,shì,suffix meaning style,Suffix,5
适当,shì dàng,appropriate,Adjective,5
似的,shì de,like,Auxiliary,5
事故,shì gù,accident,Noun,5
事件,shì jiàn,incident,Noun,5
试卷,shì juàn,exam paper,Noun,5
市民,shì mín,citizen,Noun,5
事实,shì shí,fact,Noun,5
视为,shì wéi,to regard as,Verb,5
事物,shì wù,thing,Noun,5
事先,shì xiān,in advance,Noun,5
试验,shì yàn,to test,Verb,5
事业,shì yè,career,Noun,5
试用,shì yòng,to try out,Verb,5
适用,shì yòng,applicable,Adjective,5
收获,shōu huò,to reap,Noun/Verb,5
收集,shōu jí,to collect,Verb,5
收看,shōu kàn,to watch (TV,Verb,5
守,shǒu,to guard,Verb,5
首次,shǒu cì,first time,Number,5
手段,shǒu duàn,method,Noun,5
手工,shǒu gōng,handmade,Noun,5
手术,shǒu shù,surgery,Noun/Verb,5
手套,shǒu tào,glove,Noun,5
手续,shǒu xù,procedure,Noun,5
手指,shǒu zhǐ,finger,Noun,5
售价,shòu jià,selling price,Noun,5
蔬菜,shū cài,vegetable,Noun,5
书法,shū fǎ,calligraphy,Noun,5
书房,shū fáng,study,Noun,5
书架,shū jià,bookshelf,Noun,5
输入,shū rù,to input,Verb,5
舒适,shū shì,comfortable,Adjective,5
熟练,shú liàn,skilled,Adjective,5
熟人,shú rén,acquaintance,Noun,5
数,shǔ,to count,Verb,5
鼠标,shǔ biāo,mouse,Noun,5
属于,shǔ yú,to belong to,Verb,5
束,shù,measure word for bunches,Classifier,5
数据,shù jù,data,Noun,5
树木,shù mù,trees,Noun,5
摔,shuāi,to fall,Verb,5
双方,shuāng fāng,both sides,Noun,5
水分,shuǐ fèn,moisture,Noun,5
税,shuì,tax,Noun,5
睡眠,shuì mián,sleep,Noun,5
顺,shùn,to go along,Verb/Adjective/Preposition,5
说不定,shuō bu dìng,hard to say,Verb/Adverb,5
说服,shuō fú,to persuade,Verb,5
思考,sī kǎo,to think,Verb,5
私人,sī rén,private,Noun,5
思维,sī wéi,thought,Noun/Verb,5
思想,sī xiǎng,thought,Noun,5
四处,sì chù,all around,Noun,5
似乎,sì hū,seem,Adverb,5
四周,sì zhōu,all around,Noun,5
搜,sōu,to search,Verb,5
搜索,sōu suǒ,to search,Verb,5
宿舍,sù shè,dormitory,Noun,5
酸甜苦辣,suān tián kǔ là,sour/sweet/bitter/hot,Phrase,5
随,suí,to follow,Verb,5
随后,suí hòu,afterward,Adverb,5
随时,suí shí,at any time,Adverb,5
随手,suí shǒu,conveniently,Adverb,5
随意,suí yì,as one pleases,Adjective,5
碎,suì,to break,Verb/Adjective,5
损害,sǔn hài,to damage,Verb,5
损失,sǔn shī,to lose,Noun/Verb,5
缩短,suō duǎn,to shorten,Verb,5
缩小,suō xiǎo,to shrink,Verb,5
所,suǒ,measure word for places,Noun/Classifier,5
锁,suǒ,lock,Noun/Verb,5
他人,tā rén,others,Pronoun,5
台灯,tái dēng,desk lamp,Noun,5
台阶,tái jiē,steps,Noun,5
太太,tài tai,wife (respectful),Noun,5
谈话,tán huà,to talk,Verb,5
桃,táo,peach,Noun,5
套,tào,set,Noun/Verb/Classifier,5
特产,tè chǎn,specialty,Noun,5
特色,tè sè,characteristic,Noun,5
特殊,tè shū,special,Adjective,5
特有,tè yǒu,characteristic,Adjective,5
特征,tè zhēng,feature,Noun,5
疼痛,téng tòng,painful,Adjective,5
提倡,tí chàng,to advocate,Verb,5
提交,tí jiāo,to submit,Verb,5
题目,tí mù,topic,Noun,5
提起,tí qǐ,to mention,Verb,5
提升,tí shēng,to promote,Verb,5
提问,tí wèn,to ask a question,Verb,5
体会,tǐ huì,to understand,Noun/Verb,5
体力,tǐ lì,physical strength,Noun,5
体现,tǐ xiàn,to embody,Verb,5
体验,tǐ yàn,to experience,Verb,5
替,tì,to replace,Verb/Preposition,5
天空,tiān kōng,sky,Noun,5
天上,tiān shàng,in the sky,Noun,5
填,tián,to fill,Verb,5
甜品,tián pǐn,dessert,Noun,5
挑,tiāo,to choose,Verb,5
挑选,tiāo xuǎn,to select,Verb,5
调,tiáo,to adjust,Verb,5
调皮,tiáo pí,naughty,Adjective,5
调整,tiáo zhěng,to adjust,Verb,5
挑战,tiǎo zhàn,to challenge,Noun/Verb,5
跳高,tiào gāo,high jump,Verb,5
跳远,tiào yuǎn,long jump,Verb,5
贴,tiē,to paste,Verb,5
铁路,tiě lù,railway,Noun,5
停留,tíng liú,to stay,Verb,5
通常,tōng cháng,usual,Adjective/Adverb,5
通行,tōng xíng,to pass through,Verb,5
同,tóng,same; as well as,Verb/Adjective/Adverb/Conjunction/Preposition,5
同情,tóng qíng,to sympathize,Verb,5
同一,tóng yī,identical,Adjective,5
统计,tǒng jì,to count,Verb,5
统一,tǒng yī,to unify,Verb/Adjective,5
痛苦,tòng kǔ,painful,Adjective,5
投,tóu,to throw,Verb,5
投入,tóu rù,to invest,Noun/Verb/Adjective,5
头,tou,suffix used after nouns,Suffix,5
突出,tū chū,to protrude,Verb/Adjective,5
图画,tú huà,picture,Noun,5
图书,tú shū,books,Noun,5
土地,tǔ dì,land,Noun,5
土豆,tǔ dòu,potato,Noun,5
兔子,tù zi,rabbit,Noun,5
团,tuán,to unite,Noun/Verb/Classifier,5
团队,tuán duì,team,Noun,5
推动,tuī dòng,to promote,Verb,5
推广,tuī guǎng,to popularize,Verb,5
推荐,tuī jiàn,to recommend,Verb,5
推进,tuī jìn,to push forward,Verb,5
退,tuì,to retreat,Verb,5
退出,tuì chū,to withdraw,Verb,5
退还,tuì huán,to refund,Verb,5
退休,tuì xiū,to retire,Verb,5
拖鞋,tuō xié,slippers,Noun,5
外部,wài bù,outside,Noun,5
外公,wài gōng,grandfather,Noun,5
外观,wài guān,appearance,Noun,5
外婆,wài pó,grandmother,Noun,5
外形,wài xíng,appearance,Noun,5
弯,wān,curved,Noun/Verb/Adjective,5
玩具,wán jù,toy,Noun,5
完美,wán měi,perfect,Adjective,5
完善,wán shàn,perfect,Verb/Adjective,5
完整,wán zhěng,complete,Adjective,5
万一,wàn yī,just in case,Noun/Conjunction,5
往返,wǎng fǎn,to go back and forth,Verb,5
网络,wǎng luò,network,Noun,5
危害,wēi hài,to harm,Verb,5
微笑,wēi xiào,to smile,Noun/Verb,5
威胁,wēi xié,to threaten,Verb,5
围,wéi,to enclose,Verb,5
为,wèi,for,Preposition,5
维持,wéi chí,to maintain,Verb,5
违法,wéi fǎ,to violate the law,Verb,5
违反,wéi fǎn,to violate,Verb,5
围巾,wéi jīn,scarf,Noun,5
围绕,wéi rào,to surround,Verb,5
维修,wéi xiū,to maintain,Verb,5
唯一,wéi yī,only,Adjective,5
尾巴,wěi ba,tail,Noun,5
伟大,wěi dà,great,Adjective,5
胃,wèi,stomach,Noun,5
喂,wèi,to feed,Verb,5
未来,wèi lái,coming,Noun/Adjective,5
位于,wèi yú,to be located at,Verb,5
位置,wèi zhi,location,Noun,5
温暖,wēn nuǎn,warm,Verb/Adjective,5
文学,wén xué,literature,Noun,5
稳定,wěn dìng,stable,Verb/Adjective,5
问卷,wèn juàn,questionnaire,Noun,5
握,wò,to hold,Verb,5
卧室,wò shì,bedroom,Noun,5
握手,wò shǒu,to shake hands,Verb,5
无关,wú guān,to have nothing to do with,Verb,5
无奈,wú nài,helpless,Verb/Conjunction,5
无数,wú shù,countless,Adjective,5
无限,wú xiàn,unlimited,Adjective,5
无效,wú xiào,invalid,Verb,5
舞蹈,wǔ dǎo,dance,Noun,5
武术,wǔ shù,martial arts,Noun,5
舞台,wǔ tái,stage,Noun,5
五颜六色,wǔ yán liù sè,colorful,Adjective,5
雾,wù,fog,Noun,5
物价,wù jià,price,Noun,5
物理,wù lǐ,physics,Noun,5
物品,wù pǐn,article,Noun,5
物业,wù yè,property management,Noun,5
物质,wù zhì,matter,Noun,5
西餐,xī cān,Western food,Noun,5
吸管,xī guǎn,straw,Noun,5
吸收,xī shōu,to absorb,Verb,5
西装,xī zhuāng,suit,Noun,5
戏,xì,play,Noun,5
系,xì,department,Noun,5
细节,xì jié,detail,Noun,5
戏剧,xì jù,drama,Noun,5
系统,xì tǒng,system,Noun/Adjective,5
下载,xià zài,to download,Verb,5
先后,xiān hòu,succession,Noun/Adverb,5
先进,xiān jìn,advanced,Noun/Adjective,5
闲,xián,idle,Adjective,5
显得,xiǎn de,to appear,Verb,5
显然,xiǎn rán,obvious,Adjective,5
显示,xiǎn shì,to show,Verb,5
县,xiàn,county,Noun,5
现场,xiàn chǎng,scene,Noun,5
现代,xiàn dài,modern times,Noun/Adjective,5
现代化,xiàn dài huà,to modernize,Verb,5
线路,xiàn lù,line,Noun,5
现实,xiàn shí,reality,Noun/Adjective,5
现象,xiàn xiàng,phenomenon,Noun,5
限制,xiàn zhì,to limit,Noun/Verb,5
现状,xiàn zhuàng,current situation,Noun,5
乡,xiāng,countryside,Noun,5
相处,xiāng chǔ,to get along,Verb,5
乡村,xiāng cūn,countryside,Noun,5
相当,xiāng dāng,to match,Verb/Adverb,5
相对,xiāng duì,to compare,Verb/Adjective,5
相关,xiāng guān,to be related,Verb,5
相似,xiāng sì,similar,Adjective,5
想念,xiāng niàn,to miss,Verb,5
响声,xiāng shēng,sound,Noun,5
享受,xiāng shòu,to enjoy,Verb,5
想象,xiǎng xiàng,to imagine,Verb,5
相册,xiàng cè,photo album,Noun,5
项目,xiàng mù,project,Noun,5
橡皮,xiàng pí,eraser,Noun,5
向上,xiàng shàng,upward,Verb,5
象征,xiàng zhēng,to symbolize,Noun/Verb,5
消费,xiāo fèi,to consume,Verb,5
消费者,xiāo fèi zhě,consumer,Noun,5
消化,xiāo huà,to digest,Verb,5
消极,xiāo jí,negative,Adjective,5
销量,xiāo liàng,sales volume,Noun,5
消失,xiāo shī,to disappear,Verb,5
销售,xiāo shòu,to sell,Verb,5
小姐,xiǎo jiě,Miss,Noun,5
小型,xiǎo xíng,small-scale,Adjective,5
小于,xiǎo yú,to be less than,Verb,5
效率,xiào lǜ,efficiency,Noun,5
斜,xié,slanted,Verb/Adjective,5
协议,xié yì,to agree,Noun/Verb,5
写作,xiě zuò,to write,Verb,5
新郎,xīn láng,bridegroom,Noun,5
心理,xīn lǐ,psychology,Noun,5
新娘,xīn niáng,bride,Noun,5
新人,xīn rén,newcomer,Noun,5
欣赏,xīn shǎng,to appreciate,Verb,5
心态,xīn tài,attitude,Noun,5
新型,xīn xíng,new type,Adjective,5
信封,xìn fēng,envelope,Noun,5
信任,xìn rèn,to trust,Verb,5
信用,xìn yòng,trustworthiness,Noun,5
行程,xíng chéng,itinerary,Noun,5
形成,xíng chéng,to form,Verb,5
行动,xíng dòng,to take action,Noun/Verb,5
行人,xíng rén,pedestrian,Noun,5
形容,xíng róng,to describe,Verb,5
形式,xíng shì,form,Noun,5
形势,xíng shì,situation,Noun,5
行驶,xíng shǐ,to travel,Verb,5
行为,xíng wéi,behavior,Noun,5
形象,xíng xiàng,image,Noun/Adjective,5
形状,xíng zhuàng,shape,Noun,5
行走,xíng zǒu,to walk,Verb,5
幸运,xìng yùn,luck,Noun/Adjective,5
性质,xìng zhì,nature,Noun,5
修改,xiū gǎi,to modify,Verb,5
修建,xiū jiàn,to build,Verb,5
休闲,xiū xián,leisure,Verb,5
需,xū,to need,Verb,5
需求,xū qiú,demand,Noun,5
虚心,xū xīn,modest,Adjective,5
宣布,xuān bù,to announce,Verb,5
宣传,xuān chuán,to promote,Verb,5
选手,xuǎn shǒu,contestant,Noun,5
学分,xué fēn,credit,Noun,5
学科,xué kē,discipline,Noun,5
学历,xué lì,educational background,Noun,5
学年,xué nián,academic year,Noun,5
学术,xué shù,academics,Noun,5
学者,xué zhě,scholar,Noun,5
雪糕,xuě gāo,ice cream,Noun,5
询问,xún wèn,to inquire,Verb,5
寻找,xún zhǎo,to look for,Verb,5
训练,xùn liàn,to train,Verb,5
迅速,xùn sù,rapid,Adjective,5
呀,ya,ah,Interjection,5
押金,yā jīn,deposit,Noun,5
压岁钱,yā suì qián,lucky money,Noun,5
鸭子,yā zi,duck,Noun,5
牙齿,yá chǐ,tooth,Noun,5
沿,yán,along,Noun/Verb/Preposition,5
延长,yán cháng,to extend,Verb,5
研发,yán fā,to research and develop,Verb,5
严肃,yán sù,serious,Verb/Adjective,5
研制,yán zhì,to research and develop,Verb,5
眼,yǎn,eye,Noun/Classifier,5
演讲,yǎn jiǎng,to give a speech,Verb,5
眼泪,yǎn lèi,tears,Noun,5
阳台,yáng tái,balcony,Noun,5
样式,yàng shì,style,Noun,5
腰,yāo,waist,Noun,5
摇,yáo,to shake,Verb,5
咬,yǎo,to bite,Verb,5
要不,yào bù,otherwise,Conjunction,5
要不是,yào bù shì,if it were not for,Conjunction,5
药品,yào pǐn,medicine,Noun,5
药物,yào wù,medication,Noun,5
夜间,yè jiān,night,Noun,5
夜市,yè shì,night market,Noun,5
业务,yè wù,business,Noun,5
业余,yè yú,amateur,Adjective,5
依据,yī jù,basis,Noun/Verb/Preposition,5
依靠,yī kào,to rely on,Noun/Verb,5
医疗,yī liáo,medical treatment,Verb,5
依然,yī rán,still,Adverb,5
医学,yī xué,medicine,Noun,5
移,yí,to move,Verb,5
一次性,yí cì xìng,disposable,Adjective,5
一代,yí dài,generation,Noun,5
一旦,yí dàn,once,Adverb,5
移动,yí dòng,to move,Verb,5
遗憾,yí hàn,regret,Noun/Adjective,5
一路,yí lù,all the way,Noun/Adverb,5
一路顺风,yí lù shùn fēng,bon voyage,Phrase,5
疑问,yí wèn,doubt,Noun,5
一致,yí zhì,consistent,Adjective/Adverb,5
乙,yǐ,second in sequence,Noun,5
以,yǐ,with,Conjunction/Preposition,5
以及,yǐ jí,as well as,Conjunction,5
以来,yǐ lái,since,Noun,5
亿,yì,hundred million,Number,5
意识,yì shí,to realize,Noun/Verb,5
意外,yì wài,accidental,Noun/Adjective,5
意味着,yì wèi zhe,to mean,Verb,5
义务,yì wù,duty,Noun/Adjective,5
意义,yì yì,meaning,Noun,5
因而,yīn ér,therefore,Conjunction,5
音量,yīn liàng,volume of sound,Noun,5
因素,yīn sù,factor,Noun,5
引进,yǐn jìn,to introduce,Verb,5
饮食,yǐn shí,diet,Noun,5
印刷,yìn shuā,to print,Verb,5
应当,yīng dāng,should,Verb,5
迎,yíng,to welcome,Verb,5
迎接,yíng jiē,to greet,Verb,5
营养,yíng yǎng,nutrition,Noun,5
